restaurantname,pricerange,area,food,phone,addr,postcode,goodfood,busy,longstay
the gandhi,cheap,centre,indian,01223 353942,72 regent street city centre,,False,True,True
kymmoy,expensive,centre,asian oriental,01223 311911,52 mill road city centre,c.b 1,True,False,False
golden house,cheap,centre,polynesian,01842 753771,12 lensfield road city centre,,False,False,False
bedouin,expensive,centre,african,01223 367660,100 mill road city centre,c.b 1,False,False,False
pipasha restaurant,expensive,east,indian,01223 577786,newmarket road fen ditton,c.b 5,False,False,True
charlie chan,cheap,centre,chinese,01223 361763,regent street city centre,c.b 2,True,False,False
lan hong house,moderate,centre,thai,01223 350420,12 norfolk street city centre,,True,False,False
la tasca,moderate,centre,spanish,01223 464630,14 -16 bridge street,c.b 2,True,True,True
backstreet bistro,expensive,south,gastropub,01223 306306,2 sturton street city centre,c.b 1,True,True,False
la raza,cheap,centre,spanish,01223 464550,4 - 6 rose crescent,c.b 2,True,True,True
the slug and lettuce,expensive,east,gastropub,dontcare,34 - 35 green street,c.b 2,True,False,False
restaurant one seven,moderate,north,british,01223 337766,de vere university arms regent street city centre,,False,False,False
fitzbillies restaurant,expensive,centre,british,01223 352500,51 trumpington street city centre,,True,True,True
anatolia,moderate,centre,turkish,01223 362372,30 bridge street city centre,c.b 2,False,False,True
clowns cafe,moderate,centre,bistro,01223 355711,,c.b 1,True,False,True
kohinoor,cheap,west,indian,01223 323639,74 mill road city centre,,True,False,True
the cambridge chop house,cheap,centre,british,01223 359506,1 kings parade,,True,True,True
gourmet burger kitchen,expensive,centre,north american,01223 312598,regent street city centre,c.b 2,True,False,True
la mimosa,expensive,centre,mediterranean,01223 362525,thompsons lane fen ditton,c.b 5,True,False,True
meze bar restaurant,expensive,centre,turkish,,196 mill road city centre,c.b 1,False,True,True
the golden curry,expensive,south,australasian,01223 329432,,,True,False,False
curry queen,moderate,,indian,,106 mill road city centre,c.b 1,False,False,True
hakka,cheap,north,persian,01223 568988,milton road chesterton,c.b 4,False,False,False
the oak bistro,moderate,centre,british,01223 323361,6 lensfield road,,False,False,False
riverside brasserie,moderate,centre,gastropub,01223 259988,doubletree by hilton cambridge granta place mill lane,,False,True,False
the copper kettle,moderate,east,british,01223 365068,4 kings parade city centre,c.b 2,False,True,True
zizzi cambridge,expensive,south,italian,01223 365599,47-53 regent street,,True,False,True
saffron brasserie,expensive,centre,jamaican,,,,False,True,False
india house,expensive,west,indian,01223 461661,31 newnham road newnham,,False,True,True
ali baba,moderate,centre,lebanese,01462 432565,59 hills road city centre,c.b 2,False,False,False
rice boat,expensive,north,indian,01223 302800,37 newnham road newnham,,False,False,True
midsummer house restaurant,expensive,centre,british,01223 369299,midsummer common,,True,True,False
hotel du vin and bistro,moderate,centre,european,01223 227330,15 - 19 trumpington street,c.b 2,True,False,True
darrys cookhouse and wine shop,expensive,south,modern european,01223 505015,40270 king street city centre,c.b 1,False,False,False
pizza express,cheap,centre,spanish,01223 324033,,c.b 2,False,False,False
jinling noodle bar,moderate,centre,cuban,01223 566188,11 peas hill city centre,c.b 2,False,False,True
graffiti,moderate,north,indian,01223 277977,hotel felix whitehouse lane huntingdon road,c.b 3,True,False,True
wagamama,expensive,centre,japanese,01223 462354,36 saint andrews street,c.b 2,False,False,False
pizza hut city centre,cheap,centre,italian,01223 323737,regent street city centre,,True,True,True
curry king,expensive,centre,seafood,01223 324351,5 jordans yard bridge street city centre,,True,True,False
panahar,expensive,centre,mediterranean,,,,True,False,False
ugly duckling,expensive,centre,catalan,,12 st. johns street city centre,,True,True,True
pizza express fen ditton,moderate,centre,european,,jesus lane fen ditton,,False,True,False
sesame restaurant and bar,moderate,,turkish,,,,False,True,True
hk fusion,expensive,centre,thai,,21 burleigh street city centre,c.b 1,True,False,True
